emotion,language,comment
love,english,This is what love feels like
anxious,english,I feel suffocated
sad,bangla,আমি খুব হতাশ
surprised,bangla,হয়নি তো কিছু?
love,bangla,আমার হৃদয় তোমার জন্য
angry,bangla,ন্যায়বিচার চাই!
angry,bangla,আমি প্রতারিত হয়েছি
surprised,english,I can't believe my eyes
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
happy,english,Delighted with the result
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
anxious,english,I'm so nervous about tomorrow
anxious,bangla,স্ট্রেসে আছি খুব
love,bangla,তুমি আমার সারা জীবনের গল্প
angry,bangla,তোমার লজ্জা করে না?
happy,english,This is the best news ever
happy,bangla,আল্লাহর রহমতে ভালো আছি
sad,bangla,আমার কিছুই নেই
love,english,You make my heart smile
love,bangla,আমি তোমাকে মিস করি
love,bangla,তুমি আমার সমগ্র বিশ্ব
surprised,english,I am shocked and amazed
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
love,english,You are loved beyond measure
surprised,english,I never expected this to happen
happy,english,Delighted with the result
love,bangla,তোমায় নিয়ে গর্বিত
happy,bangla,সুখে আছি
sad,english,Everything reminds me of you
love,english,My heart belongs to you
neutral,english,Just got home
neutral,english,Time for lunch
surprised,bangla,এটা কীভাবে সম্ভব!
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
anxious,english,My heart is racing
angry,bangla,আমার সহ্যের বাইরে!
angry,bangla,বাঁধ ভেঙে গেছে
surprised,english,Really? That's shocking!
neutral,bangla,চা খাচ্ছি
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
love,english,You are my everything
neutral,bangla,হোমওয়ার্ক করলাম
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
love,english,You are perfect just the way you are
surprised,english,OMG! That's crazy!
happy,english,Delighted with the result
neutral,english,The weather is okay I guess
surprised,bangla,এটা তো স্বপ্নের মতো
sad,bangla,কষ্টে আছি খুব
angry,english,This is so frustrating!
surprised,bangla,হয়নি তো কিছু?
love,bangla,তুমি আমার জীবনের আলো
sad,english,Why does this keep happening
anxious,english,I feel suffocated
happy,english,Life is beautiful!
love,bangla,তুমি আমার অস্তিত্ব
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
happy,bangla,জীবনটা দারুণ যাচ্ছে
surprised,bangla,কোনো কথা নেই আমার কাছে
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
angry,english,How dare they do this
happy,bangla,ভীষণ ভালো লাগছে
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
angry,english,Some people are just terrible
happy,english,Today is my lucky day
anxious,english,I can't stop worrying
love,bangla,তোমার জন্যই আমার জীবন
love,bangla,তুমি ছাড়া কিছুই না আমি
angry,english,Why do people have to be so rude
angry,english,So sick of this nonsense
anxious,bangla,আমার মাথা কাজ করছে না
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
love,bangla,তোমাকে নিয়ে আমার গর্ব
surprised,english,Holy cow! That's amazing!
love,bangla,তোমার জন্যই আমি বেঁচে আছি
happy,english,Perfect moment captured
neutral,english,I should clean my room
anxious,bangla,আমার মাথা কাজ করছে না
surprised,english,Can't believe this is real
angry,bangla,তুমি আমাকে চেনো না
love,english,You complete me
happy,bangla,আজকের দিনটা স্পেশাল
love,english,I choose you every day
love,bangla,তোমার জন্যই আমার জীবন
surprised,bangla,মাই গড!
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
love,bangla,তুমি আমার সবকিছু
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
happy,english,Life is beautiful!
surprised,english,I am shocked and amazed
happy,english,Perfect moment captured
happy,bangla,সব কিছু পারফেক্ট
happy,bangla,খুশিতে আত্মহারা
angry,bangla,সব মিথ্যা কথা!
angry,bangla,অনেক রাগ হচ্ছে!
love,bangla,তুমি আমার স্বপ্নের মানুষ
angry,english,I am furious right now
anxious,english,I am on edge all the time
neutral,bangla,বাসায় বসে আছি
love,english,My heart belongs to you
love,bangla,ভালোবাসি তোমায় অসীম
love,english,Best feeling in the world
surprised,bangla,আমি হতবাক!
happy,bangla,পরিবারের সাথে সময় কাটাচ্ছি
neutral,bangla,ল্যাপটপ চালু করলাম
love,english,Forever and always
love,bangla,তোমার চোখে আমি হারিয়ে যাই
angry,bangla,অনেক রাগ হচ্ছে!
neutral,bangla,রোদ উঠেছে এখন
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
angry,bangla,তুমি আমাকে চেনো না
surprised,bangla,এটা কীভাবে জানলেন?
happy,english,So excited for the weekend!
neutral,bangla,চা খাচ্ছি
surprised,english,Are you serious?
sad,bangla,আমি কারো কাজে লাগি না
neutral,bangla,ফ্রিজে কিছু নেই
neutral,bangla,অফিস যাচ্ছি এখন
surprised,english,Who would have thought!
happy,english,I am thrilled
happy,english,Today is my lucky day
neutral,english,I should clean my room
neutral,english,The weather is okay I guess
surprised,english,This is mind blowing
love,english,I love you so much!
anxious,english,Every little thing worries me
anxious,english,I'm afraid of the future
anxious,bangla,বুকটা ধড়ফড় করছে
sad,english,Feeling really down
love,english,I choose you every day
neutral,bangla,আজ সাধারণ একটা দিন
neutral,english,Just browsing social media
neutral,bangla,নাস্তা করলাম
sad,bangla,ব্যথাটা সহ্যের বাইরে
sad,bangla,কেউ আমাকে ভালোবাসে না
angry,english,Why do people have to be so rude
anxious,bangla,ভুল হয়ে গেলে কি হবে?
love,english,You are my sunshine
happy,english,So grateful for everything!
love,bangla,তুমি আমার প্রেরণা
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
surprised,bangla,এটা তো নাটকের মতো!
happy,english,This makes me smile
neutral,english,Nothing new to report
neutral,english,Just another ordinary day
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
surprised,bangla,এটা কখনোই আশা করিনি
happy,english,What a joy!
angry,bangla,সব পাপী একদিন ধরা পড়বে
neutral,bangla,আজ মিটিং আছে ৩টায়
surprised,english,Really? That's shocking!
sad,english,I wish I had someone to talk to
sad,english,Everything is falling apart
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
love,english,Can't imagine life without you
neutral,bangla,চা খাচ্ছি
sad,bangla,সব শেষ হয়ে গেছে
happy,bangla,আল্লাহর রহমতে ভালো আছি
sad,english,This hurts so much
surprised,bangla,এটা কীভাবে সম্ভব!
anxious,english,Every little thing worries me
anxious,bangla,স্ট্রেসে আছি খুব
anxious,bangla,অজানা ভয়ে আছি
love,english,Can't imagine life without you
angry,english,You crossed the line
angry,bangla,এটা যুদ্ধের সময়!
anxious,english,The anxiety is overwhelming
neutral,english,Made some coffee
happy,bangla,খুব ভালো লাগছে আজকে
sad,bangla,সব শেষ হয়ে গেছে
angry,bangla,এটা অন্যায়!
surprised,bangla,আমি স্তব্ধ!
neutral,english,It's a regular weekday
surprised,bangla,সত্যি কথা বলছ?
anxious,english,My heart is racing
angry,english,This is a total scam
neutral,english,Had a usual day at office
neutral,bangla,আজ সাধারণ একটা দিন
angry,english,I am furious right now
sad,bangla,মনটা ভেঙে গেছে
happy,bangla,জীবনটা দারুণ যাচ্ছে
angry,english,This is completely unacceptable
sad,english,The pain is unbearable
happy,english,Couldn't be happier right now
love,english,You are the best thing that ever happened to me
angry,english,This is so frustrating!
surprised,bangla,আমি বাকরুদ্ধ!
neutral,bangla,বৃষ্টি হচ্ছে আজকে
angry,bangla,চুপ করে থাকব না আর
neutral,english,It's raining outside
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
sad,bangla,একা একা খুব কষ্ট হচ্ছে
love,english,You make my life complete
happy,english,I am so happy today!
anxious,english,Every little thing worries me
happy,bangla,আলহামদুলিল্লাহ সব ভালো
sad,english,My heart is aching
sad,bangla,সব শেষ হয়ে গেছে
angry,bangla,এটা শেষ নয় শুরু
angry,bangla,আমার সহ্যের বাইরে!
angry,english,So angry I can't even think straight
anxious,english,Overthinking everything again
angry,english,This is completely unacceptable
sad,english,There is no hope left
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
love,english,You are my forever person
love,bangla,তুমি ছাড়া কিছুই না আমি
happy,bangla,আমি খুবই আনন্দিত
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
angry,english,So sick of this nonsense
happy,english,Smiling from ear to ear
surprised,english,You're kidding me!
love,english,Forever and always
neutral,english,Just browsing social media
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
angry,bangla,এটা যুদ্ধের সময়!
angry,bangla,এটা আমি ভুলব না
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
neutral,english,Have a meeting at 3
angry,english,Why do people have to be so rude
sad,english,This hurts so much
surprised,english,I can't believe my eyes
sad,english,Nothing makes sense anymore
angry,bangla,আমি ঠকেছি
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
angry,english,This makes my blood boil
angry,english,Are you serious right now
neutral,english,Just another Monday
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
angry,bangla,সাবধান করছি!
love,english,You are my everything
neutral,english,Just another Monday
angry,bangla,থামো এখনি!
love,english,I fall in love with you every day
neutral,bangla,হোমওয়ার্ক করলাম
sad,english,Nothing makes sense anymore
anxious,english,I am trembling inside
surprised,english,I'm genuinely surprised
surprised,english,This is mind blowing
angry,bangla,এত নিষ্ঠুর কেন সবাই
surprised,english,This is totally unexpected
sad,bangla,কান্না পাচ্ছে খুব
anxious,bangla,চাপে আছি ভীষণ
neutral,bangla,গান শুনছি
surprised,bangla,মাই গড!
neutral,english,Need to go grocery shopping
love,english,You are perfect just the way you are
neutral,bangla,বিশেষ কিছু হয়নি
neutral,english,Made some coffee
angry,english,I want justice!
sad,english,I miss you so much
love,english,You are my forever person
happy,english,So excited for the weekend!
neutral,english,Going to work now
neutral,english,Reading news online
sad,english,There is no hope left
happy,english,Everything is going my way
anxious,bangla,শান্তি নেই মনে
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
anxious,bangla,আমার মন স্থির নয়
happy,english,So proud of myself
anxious,english,So much pressure on me
love,bangla,তুমি আমার অস্তিত্ব
anxious,english,Can't sleep at all tonight
love,bangla,তুমি আমার জীবনের আলো
love,english,You are my whole world
sad,english,I am drowning in sadness
anxious,english,My heart is racing
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
surprised,english,What a revelation!
anxious,bangla,আমার ভেতরটা কাঁপছে
happy,english,What a joy!
surprised,english,This is mind blowing
happy,bangla,আল্লাহর রহমতে ভালো আছি
happy,english,Such a pleasant surprise
love,bangla,তুমি সেরা
anxious,bangla,প্যারানয়েড হয়ে গেছি
surprised,bangla,আমি বাকরুদ্ধ!
surprised,english,This changes everything!
sad,english,I feel invisible
neutral,bangla,বাসায় বসে আছি
love,bangla,তোমার চোখে আমি হারিয়ে যাই
surprised,bangla,অবিশ্বাস্য!
anxious,english,What if something goes wrong?
neutral,english,Going for a walk later
surprised,english,What a surprise!
angry,english,I am furious right now
anxious,english,Can't sleep at all tonight
surprised,english,That is incredible!
surprised,english,I am in shock
anxious,english,I feel like something bad will happen
neutral,english,Need to charge my laptop
sad,bangla,কিছুই পরিবর্তন হয় না
love,english,I cherish every moment with you
happy,english,Finally achieved my goal!
happy,english,Everything is going my way
love,english,You make my heart smile
sad,bangla,কিছুই পরিবর্তন হয় না
angry,english,Why do people have to be so rude
happy,english,Absolutely fantastic!
surprised,bangla,কোনো কথা নেই আমার কাছে
love,bangla,আমার হৃদয় তোমার জন্য
angry,bangla,এত নিষ্ঠুর কেন সবাই
anxious,english,What will happen next?
love,bangla,তুমি সেরা
surprised,bangla,এটা তো শকিং!
surprised,english,I'm speechless right now
anxious,english,Everything feels out of control
surprised,bangla,এটা কীভাবে সম্ভব!
happy,bangla,আনন্দে ভাসছি
anxious,english,Feeling really uneasy
angry,english,I've had enough!
neutral,bangla,আজ সাধারণ একটা দিন
neutral,bangla,একটি সিনেমা দেখলাম
love,bangla,তুমি আমার পৃথিবী
anxious,bangla,মনটা শান্ত নয়
happy,bangla,জীবনে এত আনন্দ আর কি চাই
neutral,english,I need to buy groceries
surprised,bangla,কি বলছ! এটা সত্যি?
angry,english,Some people are just terrible
anxious,bangla,কিছু একটা হবে
love,bangla,তুমি আমার অস্তিত্ব
surprised,bangla,আমি হতবাক!
happy,bangla,কি সুন্দর একটা দিন!
happy,bangla,আমি সফল হয়েছি
sad,bangla,কিছুই ভালো লাগছে না
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
love,english,I love you so much!
neutral,english,Need to charge my laptop
sad,english,No one understands me
neutral,english,It's raining outside
love,english,You are my soulmate
neutral,english,I should clean my room
happy,english,Such a pleasant surprise
sad,bangla,জীবনটা বোঝা হয়ে গেছে
neutral,english,Nothing new to report
love,bangla,তোমার হাসি আমার পৃথিবী
anxious,bangla,প্যারানয়েড হয়ে গেছি
happy,english,So much to celebrate!
happy,english,What a blessing!
angry,english,I've had enough!
angry,bangla,বেশি বাড়াবাড়ি করছো!
surprised,bangla,এটা কীভাবে জানলেন?
neutral,bangla,অফিস যাচ্ছি এখন
love,english,You are my sunshine
neutral,bangla,নতুন জিন্স কিনেছি
love,bangla,ভালোবাসি তোমায় অসীম
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
sad,english,I lost someone important
neutral,bangla,নতুন জিন্স কিনেছি
surprised,english,Never in a million years
sad,english,Everything reminds me of you
happy,bangla,আলহামদুলিল্লাহ সব ভালো
surprised,english,Cannot process this
neutral,bangla,হোমওয়ার্ক করলাম
love,english,You are amazing
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
anxious,bangla,চিন্তায় রাত ঘুম আসে না
love,english,You mean the world to me
love,english,I fall in love with you every day
happy,bangla,সাফল্যের স্বাদ মধুর
love,english,You are my soulmate
happy,english,Feeling great and blessed!
angry,bangla,অপমান সহ্য করব না
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
anxious,bangla,অজানা ভয়ে আছি
neutral,bangla,কাল শপিং এ যাব
sad,bangla,সব শেষ হয়ে গেছে
angry,english,This is a joke
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
sad,bangla,কিছুই পরিবর্তন হয় না
sad,english,I am drowning in sadness
happy,english,This is amazing news
anxious,bangla,আমার মন স্থির নয়
happy,english,What a blessing!
angry,english,This is outrageous
sad,english,Nothing is going right
anxious,bangla,মনটা শান্ত নয়
love,bangla,তুমি আমার সমগ্র বিশ্ব
love,english,I cherish every moment with you
happy,english,Couldn't be happier right now
happy,bangla,আল্লাহর রহমতে ভালো আছি
surprised,bangla,জীবনে এটা কখনো ভাবিনি
love,bangla,তুমি আমার সবকিছু
love,english,You make my life complete
happy,english,Delighted with the result
surprised,english,Wow I did not see that coming!
love,english,So lucky to have you
anxious,bangla,মনটা শান্ত নয়
neutral,english,Have a meeting at 3
sad,bangla,আজ খুব মন খারাপ
happy,bangla,সাফল্যের স্বাদ মধুর
anxious,english,What if I fail?
happy,english,Such a pleasant surprise
angry,english,How dare they do this
angry,english,Total disaster
sad,english,I just want to disappear
anxious,english,I feel like something bad will happen
angry,english,I'm about to lose my mind
neutral,bangla,নতুন জিন্স কিনেছি
angry,bangla,তুমি আমাকে চেনো না
surprised,bangla,এটা কখনোই আশা করিনি
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
sad,english,Wish things were different
neutral,bangla,বাসায় বসে আছি
anxious,english,Paranoid and restless
surprised,english,No way! This is unbelievable!
neutral,bangla,বন্ধুর সাথে কথা হলো
love,english,My heart belongs to you
anxious,english,I'm so nervous about tomorrow
neutral,english,I need to buy groceries
sad,english,Why does this keep happening
angry,english,I'm boiling inside
surprised,english,This is totally unexpected
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
surprised,bangla,মাই গড!
sad,english,I lost someone important
neutral,english,Going for a walk later
surprised,bangla,কোনো কথা নেই আমার কাছে
sad,bangla,কষ্টে আছি খুব
sad,english,Feeling really down
angry,english,This makes my blood boil
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
angry,english,I am so fed up!
neutral,bangla,বিশেষ কিছু হয়নি
love,bangla,তুমি আমার অস্তিত্ব
happy,bangla,পরিবার নিয়ে আনন্দ
neutral,bangla,কাল শপিং এ যাব
love,bangla,তুমি ছাড়া কিছুই না আমি
surprised,english,That came out of nowhere
neutral,english,Have a meeting at 3
happy,english,Happiness is all around me
love,english,You are amazing
angry,bangla,আমার রাগ এখন বাস্তব
sad,bangla,আমি ক্লান্ত হয়ে গেছি
anxious,bangla,প্যারানয়েড হয়ে গেছি
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
angry,english,I hate this so much
love,bangla,তোমার হাসি আমার পৃথিবী
neutral,bangla,বাজারে যাব একটু পর
anxious,bangla,চিন্তায় ডুবে আছি
happy,english,This is amazing news
love,english,This is what love feels like
sad,english,No one understands me
surprised,bangla,ওহ মাই গড!
sad,english,The pain is unbearable
neutral,english,Reading news online
sad,bangla,কিছুই ভালো লাগছে না
surprised,english,Unbelievable!
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
neutral,english,Just got home
sad,english,Why does it hurt so much
happy,bangla,আমার স্বপ্ন পূরণ হয়েছে
sad,bangla,আমি খুব একা
neutral,english,Thinking about what to cook
surprised,bangla,এটা কীভাবে সম্ভব!
sad,bangla,কেউ আমাকে বুঝতে চায় না
neutral,english,Just another ordinary day
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
angry,bangla,এভাবে চলতে দেব না
surprised,english,I'm speechless right now
angry,english,I can't believe this!
happy,bangla,সুখে আছি
happy,english,Best day ever!
sad,english,Nothing is going right
anxious,english,Everything feels out of control
happy,bangla,হাসি মুখে দিন শুরু
surprised,bangla,ওহ মাই গড!
neutral,bangla,চা খাচ্ছি
happy,bangla,গর্বিত নিজের উপর
angry,english,So sick of this nonsense
surprised,bangla,সত্যি কথা বলছ?
anxious,bangla,বুকটা ধড়ফড় করছে
anxious,english,I'm so nervous about tomorrow
anxious,bangla,মনটা শান্ত নয়
angry,english,This is outrageous
angry,bangla,এটা আমি ভুলব না
happy,bangla,হাসি মুখে দিন শুরু
anxious,english,I am trembling inside
love,bangla,আমি তোমাকে অনেক ভালোবাসি
angry,bangla,অনেক রাগ হচ্ছে!
happy,bangla,আমি সফল হয়েছি
surprised,bangla,আমি ভাবতেও পারিনি
sad,bangla,কিছুই পরিবর্তন হয় না
neutral,bangla,একটি সিনেমা দেখলাম
happy,english,This makes me smile
sad,english,Life feels so heavy
neutral,english,Just browsing social media
surprised,bangla,এটা কীভাবে জানলেন?
angry,english,Are you serious right now
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
neutral,bangla,পানি খাচ্ছি
surprised,english,Holy cow! That's amazing!
surprised,english,Holy cow! That's amazing!
happy,english,Feeling on top of the world
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
neutral,bangla,বৃষ্টি থেমে গেছে
happy,english,Feeling on top of the world
love,english,I fall in love with you every day
sad,bangla,কেউ আমার কথা বুঝে না
anxious,english,I need to breathe
anxious,english,My mind won't stop racing
surprised,bangla,এটা তো শকিং!
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
happy,bangla,আনন্দে ভাসছি
angry,bangla,আমি ঠকেছি
neutral,bangla,ইনবক্স চেক করলাম
happy,bangla,সুখে আছি
anxious,bangla,সব সময় ভয় লাগে
neutral,english,Checked my emails
surprised,bangla,আমি তো ভাবতেই পারিনি
surprised,english,What a twist!
angry,english,I want justice!
angry,bangla,আমি প্রতিশোধ নেব
sad,bangla,কেউ আমার কথা বুঝে না
sad,bangla,কেউ আমার পাশে নেই
neutral,english,Just another ordinary day
angry,bangla,আমি প্রতারিত হয়েছি
angry,english,I'm about to lose my mind
sad,english,I just want to sleep forever
anxious,bangla,অস্থির লাগছে খুব
anxious,bangla,উদ্বিগ্নতায় শেষ
surprised,bangla,আমি স্তব্ধ!
happy,english,Best day ever!
neutral,english,Had a usual day at office
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
neutral,bangla,নাস্তা করলাম
happy,english,Everything is going my way
neutral,english,Just finished my homework
sad,english,Life feels so heavy
love,bangla,তুমি আমার পৃথিবী
sad,english,Why me?
happy,bangla,দারুণ এক অনুভূতি
anxious,english,I wish I knew what to expect
surprised,bangla,বাহ! এটা তো দারুণ!
love,english,You mean the world to me
neutral,bangla,ইনবক্স চেক করলাম
anxious,bangla,চিন্তায় ডুবে আছি
anxious,bangla,চাপে আছি ভীষণ
happy,english,Feeling great and blessed!
surprised,english,No way! This is unbelievable!
surprised,english,Who would have thought!
love,english,So in love with this person
neutral,english,Had a usual day at office
surprised,english,What a surprise!
angry,bangla,সাবধান করছি!
anxious,english,I need to breathe
happy,bangla,গর্বিত নিজের উপর
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
happy,bangla,হাসি মুখে দিন শুরু
happy,english,Couldn't be happier right now
love,english,You mean the world to me
anxious,english,Overthinking everything again
sad,bangla,কেউ আমার পাশে নেই
angry,bangla,ন্যায়বিচার চাই!
angry,bangla,এটা যুদ্ধের সময়!
anxious,english,I feel like something bad will happen
angry,english,This is infuriating
neutral,english,Just another Monday
anxious,bangla,ভুল হয়ে গেলে কি হবে?
sad,bangla,আমি ক্লান্ত হয়ে গেছি
surprised,bangla,কী দারুণ খবর!
love,bangla,তুমি আমার স্বপ্নের মানুষ
happy,english,This is the best news ever
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
angry,bangla,থামো এখনি!
angry,bangla,এত নিষ্ঠুর কেন সবাই
sad,bangla,কষ্টে জর্জরিত
love,english,So in love with this person
sad,english,This hurts so much
sad,english,I wish I had someone to talk to
anxious,english,Everything feels out of control
sad,bangla,আমি হেরে গেছি
love,bangla,তুমি আমার সারা জীবনের গল্প
surprised,english,I never expected this to happen
love,english,I love you so much!
angry,english,This is infuriating
anxious,bangla,অজানা ভয়ে আছি
neutral,english,Time for lunch
surprised,bangla,আমি তো অবাক!
sad,bangla,কেউ আমাকে বুঝতে চায় না
angry,english,How dare they do this
surprised,bangla,সত্যি হলে ভালো হতো!
surprised,english,Cannot process this
angry,bangla,আমি প্রতিশোধ নেব
love,english,Love you forever
sad,bangla,জীবনটা বোঝা হয়ে গেছে
anxious,bangla,শান্তি নেই মনে
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
sad,bangla,কিছুই ভালো লাগছে না
happy,english,Finally achieved my goal!
anxious,english,I feel so stressed out
neutral,bangla,ল্যাপটপ চালু করলাম
happy,bangla,সব কিছু পারফেক্ট
surprised,bangla,ওহ মাই গড!
anxious,bangla,চিন্তায় ডুবে আছি
neutral,english,Thinking about what to cook
anxious,english,I'm so scared of the result
happy,english,I love this weather!
love,english,I love you so much!
happy,english,Life is beautiful!
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
happy,bangla,আজকের দিনটা স্পেশাল
sad,english,Feeling empty inside
surprised,english,Never in a million years
angry,bangla,তোমার অহংকার নিচে নামাব
love,english,Love you forever
anxious,english,Can't sleep at all tonight
anxious,bangla,চাপে আছি ভীষণ
sad,english,I lost someone important
anxious,english,I feel so stressed out
anxious,english,What if I fail?
happy,english,I feel so lucky
angry,bangla,আমার রাগ এখন বাস্তব
happy,bangla,আজকের দিনটা স্পেশাল
neutral,bangla,ফ্রিজে কিছু নেই
sad,english,Can't stop crying
happy,english,I feel so lucky
surprised,bangla,অসম্ভব!
angry,english,This is outrageous
angry,english,This is a total scam
surprised,bangla,অবিশ্বাস্য!
surprised,english,Are you serious?
neutral,english,I need to buy groceries
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
happy,bangla,খুব ভালো লাগছে আজকে
sad,bangla,আমি হেরে গেছি
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
angry,bangla,চুপ করে থাকব না আর
sad,bangla,আমার কিছুই নেই
sad,bangla,কান্না পাচ্ছে খুব
surprised,bangla,এটা কীভাবে সম্ভব!
neutral,english,I had my breakfast
anxious,bangla,ভুল হয়ে গেলে কি হবে?
neutral,english,Checked my emails
anxious,english,This uncertainty is killing me
anxious,english,What if something goes wrong?
sad,english,No one understands me
neutral,english,I should clean my room
